job_role,gender_text_cue,candidate_location,baseline_qualification_score,gender_bias_penalty,location_bias_penalty,final_screening_score,disparate_impact_ratio,shortlisted
Data Analyst,Feminine-Leaning,Jawa Timur,111.02,12.5,0.0,98.52,0.887,1
Junior Developer,Feminine-Leaning,Jawa Barat,113.25,12.5,0.0,100.75,0.89,1
Junior Developer,Masculine-Leaning,Jawa Timur,102.79,0.0,0.0,102.79,1.0,1
Data Analyst,Feminine-Leaning,Jawa Timur,112.65,12.5,0.0,100.15,0.889,1
Data Analyst,Masculine-Leaning,Luar Jawa,100.15,0.0,8.0,92.15,0.92,1
Data Analyst,Masculine-Leaning,DKI Jakarta,106.26,0.0,0.0,106.26,1.0,1
DevOps Engineer,Masculine-Leaning,DKI Jakarta,106.22,0.0,0.0,106.22,1.0,1
HR Specialist,Masculine-Leaning,DKI Jakarta,99.87,0.0,0.0,99.87,1.0,1
Data Analyst,Feminine-Leaning,Jawa Timur,112.83,12.5,0.0,100.33,0.889,1
Software Engineer,Masculine-Leaning,Luar Jawa,104.38,0.0,8.0,96.38,0.923,1
Backend Developer,Masculine-Leaning,Luar Jawa,109.55,0.0,8.0,101.55,0.927,1
Data Analyst,Feminine-Leaning,Jawa Barat,114.14,12.5,0.0,101.64,0.89,1
Data Analyst,Masculine-Leaning,DKI Jakarta,101.22,0.0,0.0,101.22,1.0,1
HR Specialist,Masculine-Leaning,Luar Jawa,95.0,0.0,8.0,87.0,0.916,1
Junior Developer,Feminine-Leaning,Luar Jawa,104.09,12.5,8.0,83.59,0.803,1
Content Specialist,Masculine-Leaning,Luar Jawa,113.88,0.0,8.0,105.88,0.93,1
Training Manager,Masculine-Leaning,DKI Jakarta,106.23,0.0,0.0,106.23,1.0,1
Junior Developer,Feminine-Leaning,Jawa Barat,111.66,12.5,0.0,99.16,0.888,1
Backend Developer,Masculine-Leaning,Luar Jawa,110.09,0.0,8.0,102.09,0.927,1
Product Manager,Masculine-Leaning,DKI Jakarta,108.82,0.0,0.0,108.82,1.0,1
Backend Developer,Masculine-Leaning,Jawa Barat,103.92,0.0,0.0,103.92,1.0,1
Data Analyst,Masculine-Leaning,DKI Jakarta,112.47,0.0,0.0,112.47,1.0,1
Data Analyst,Masculine-Leaning,Jawa Timur,116.19,0.0,0.0,116.19,1.0,1
Backend Developer,Masculine-Leaning,Jawa Barat,99.26,0.0,0.0,99.26,1.0,1
Training Manager,Masculine-Leaning,Jawa Timur,96.85,0.0,0.0,96.85,1.0,1
Data Analyst,Masculine-Leaning,Jawa Barat,95.5,0.0,0.0,95.5,1.0,1
DevOps Engineer,Masculine-Leaning,Jawa Timur,99.4,0.0,0.0,99.4,1.0,1
HR Specialist,Feminine-Leaning,Jawa Barat,110.33,12.5,0.0,97.83,0.887,1
Data Analyst,Masculine-Leaning,Jawa Timur,109.84,0.0,0.0,109.84,1.0,1
Training Manager,Masculine-Leaning,Luar Jawa,103.98,0.0,8.0,95.98,0.923,1
Training Manager,Feminine-Leaning,Luar Jawa,97.08,12.5,8.0,76.58,0.789,1
Junior Developer,Masculine-Leaning,Jawa Barat,104.54,0.0,0.0,104.54,1.0,1
Junior Developer,Masculine-Leaning,Luar Jawa,113.73,0.0,8.0,105.73,0.93,1
Junior Developer,Masculine-Leaning,Luar Jawa,107.81,0.0,8.0,99.81,0.926,1
DevOps Engineer,Masculine-Leaning,Jawa Barat,113.92,0.0,0.0,113.92,1.0,1
DevOps Engineer,Masculine-Leaning,Jawa Barat,110.28,0.0,0.0,110.28,1.0,1
Data Analyst,Masculine-Leaning,Jawa Timur,96.43,0.0,0.0,96.43,1.0,1
HR Specialist,Feminine-Leaning,Jawa Barat,99.98,12.5,0.0,87.48,0.875,1
Junior Developer,Masculine-Leaning,Luar Jawa,102.05,0.0,8.0,94.05,0.922,1
Data Analyst,Masculine-Leaning,DKI Jakarta,102.4,0.0,0.0,102.4,1.0,1
Data Analyst,Masculine-Leaning,DKI Jakarta,111.08,0.0,0.0,111.08,1.0,1
Junior Developer,Masculine-Leaning,DKI Jakarta,103.61,0.0,0.0,103.61,1.0,1
Software Engineer,Masculine-Leaning,Jawa Barat,105.2,0.0,0.0,105.2,1.0,1
HR Specialist,Masculine-Leaning,Jawa Timur,114.45,0.0,0.0,114.45,1.0,1
HR Specialist,Feminine-Leaning,Luar Jawa,104.41,12.5,8.0,83.91,0.804,1
HR Specialist,Feminine-Leaning,Luar Jawa,106.05,12.5,8.0,85.55,0.807,1
Junior Developer,Masculine-Leaning,Jawa Timur,108.85,0.0,0.0,108.85,1.0,1
Backend Developer,Masculine-Leaning,Jawa Barat,95.44,0.0,0.0,95.44,1.0,1
Data Analyst,Masculine-Leaning,DKI Jakarta,97.68,0.0,0.0,97.68,1.0,1
Product Manager,Masculine-Leaning,Jawa Barat,99.04,0.0,0.0,99.04,1.0,1
Training Manager,Masculine-Leaning,Jawa Timur,90.41,0.0,0.0,90.41,1.0,1
HR Specialist,Masculine-Leaning,DKI Jakarta,104.31,0.0,0.0,104.31,1.0,1
HR Specialist,Masculine-Leaning,Jawa Timur,92.77,0.0,0.0,92.77,1.0,1
Data Analyst,Feminine-Leaning,DKI Jakarta,98.96,12.5,0.0,86.46,0.874,1
HR Specialist,Feminine-Leaning,Jawa Barat,93.08,12.5,0.0,80.58,0.866,1
Training Manager,Masculine-Leaning,Jawa Barat,90.72,0.0,0.0,90.72,1.0,1
Data Analyst,Masculine-Leaning,Jawa Timur,102.92,0.0,0.0,102.92,1.0,1
Data Analyst,Masculine-Leaning,Jawa Barat,98.51,0.0,0.0,98.51,1.0,1
Product Manager,Masculine-Leaning,Luar Jawa,100.19,0.0,8.0,92.19,0.92,1
Junior Developer,Masculine-Leaning,Jawa Barat,99.65,0.0,0.0,99.65,1.0,1
HR Specialist,Masculine-Leaning,DKI Jakarta,102.98,0.0,0.0,102.98,1.0,1
UI/UX Designer,Feminine-Leaning,Jawa Barat,113.55,12.5,0.0,101.05,0.89,1
UI/UX Designer,Masculine-Leaning,Jawa Barat,101.36,0.0,0.0,101.36,1.0,1
Product Manager,Feminine-Leaning,Luar Jawa,90.84,12.5,8.0,70.34,0.774,1
Junior Developer,Masculine-Leaning,Jawa Timur,114.39,0.0,0.0,114.39,1.0,1
Product Manager,Masculine-Leaning,Jawa Barat,104.74,0.0,0.0,104.74,1.0,1
Junior Developer,Masculine-Leaning,Luar Jawa,105.37,0.0,8.0,97.37,0.924,1
Backend Developer,Masculine-Leaning,Jawa Barat,109.24,0.0,0.0,109.24,1.0,1
Junior Developer,Masculine-Leaning,Jawa Barat,111.98,0.0,0.0,111.98,1.0,1
Junior Developer,Masculine-Leaning,DKI Jakarta,101.02,0.0,0.0,101.02,1.0,1
DevOps Engineer,Masculine-Leaning,Jawa Timur,107.98,0.0,0.0,107.98,1.0,1
Data Analyst,Masculine-Leaning,Jawa Timur,87.25,0.0,0.0,87.25,1.0,1
Data Analyst,Masculine-Leaning,Jawa Timur,96.68,0.0,0.0,96.68,1.0,1
Training Manager,Masculine-Leaning,Jawa Timur,102.78,0.0,0.0,102.78,1.0,1
Data Analyst,Masculine-Leaning,Luar Jawa,99.41,0.0,8.0,91.41,0.92,1
Junior Developer,Masculine-Leaning,Luar Jawa,103.06,0.0,8.0,95.06,0.922,1
DevOps Engineer,Masculine-Leaning,DKI Jakarta,100.27,0.0,0.0,100.27,1.0,1
Data Analyst,Masculine-Leaning,Jawa Barat,100.15,0.0,0.0,100.15,1.0,1
Product Manager,Masculine-Leaning,DKI Jakarta,91.25,0.0,0.0,91.25,1.0,1
Backend Developer,Masculine-Leaning,DKI Jakarta,112.67,0.0,0.0,112.67,1.0,1
DevOps Engineer,Masculine-Leaning,DKI Jakarta,99.29,0.0,0.0,99.29,1.0,1
Data Analyst,Masculine-Leaning,Luar Jawa,101.13,0.0,8.0,93.13,0.921,1
Junior Developer,Masculine-Leaning,DKI Jakarta,116.79,0.0,0.0,116.79,1.0,1
HR Specialist,Masculine-Leaning,Luar Jawa,107.2,0.0,8.0,99.2,0.925,1
Backend Developer,Masculine-Leaning,Luar Jawa,108.42,0.0,8.0,100.42,0.926,1
Data Analyst,Feminine-Leaning,Luar Jawa,94.09,12.5,8.0,73.59,0.782,1
Data Analyst,Masculine-Leaning,DKI Jakarta,96.84,0.0,0.0,96.84,1.0,1
Content Specialist,Feminine-Leaning,Jawa Barat,100.75,12.5,0.0,88.25,0.876,1
UI/UX Designer,Feminine-Leaning,DKI Jakarta,90.91,12.5,0.0,78.41,0.863,1
Junior Developer,Masculine-Leaning,DKI Jakarta,100.95,0.0,0.0,100.95,1.0,1
Data Analyst,Masculine-Leaning,Jawa Timur,112.98,0.0,0.0,112.98,1.0,1
Data Analyst,Feminine-Leaning,DKI Jakarta,102.36,12.5,0.0,89.86,0.878,1
Data Analyst,Masculine-Leaning,Jawa Barat,102.27,0.0,0.0,102.27,1.0,1
Data Analyst,Feminine-Leaning,Luar Jawa,103.22,12.5,8.0,82.72,0.801,1
Data Analyst,Feminine-Leaning,Jawa Barat,103.66,12.5,0.0,91.16,0.879,1
Data Analyst,Masculine-Leaning,Luar Jawa,110.45,0.0,8.0,102.45,0.928,1
HR Specialist,Feminine-Leaning,DKI Jakarta,88.96,12.5,0.0,76.46,0.859,1
Data Analyst,Masculine-Leaning,DKI Jakarta,112.34,0.0,0.0,112.34,1.0,1
DevOps Engineer,Masculine-Leaning,Luar Jawa,91.84,0.0,8.0,83.84,0.913,1
Backend Developer,Masculine-Leaning,Luar Jawa,112.39,0.0,8.0,104.39,0.929,1
Junior Developer,Masculine-Leaning,Luar Jawa,111.99,0.0,8.0,103.99,0.929,1
Data Analyst,Masculine-Leaning,Jawa Timur,99.57,0.0,0.0,99.57,1.0,1
Training Manager,Masculine-Leaning,DKI Jakarta,97.31,0.0,0.0,97.31,1.0,1
Data Analyst,Masculine-Leaning,Luar Jawa,104.28,0.0,8.0,96.28,0.923,1
Junior Developer,Masculine-Leaning,Jawa Barat,111.64,0.0,0.0,111.64,1.0,1
Junior Developer,Feminine-Leaning,Jawa Barat,109.55,12.5,0.0,97.05,0.886,1
Backend Developer,Masculine-Leaning,Luar Jawa,98.64,0.0,8.0,90.64,0.919,1
Data Analyst,Masculine-Leaning,Jawa Timur,114.15,0.0,0.0,114.15,1.0,1
Software Engineer,Masculine-Leaning,Luar Jawa,97.62,0.0,8.0,89.62,0.918,1
Backend Developer,Masculine-Leaning,Jawa Barat,103.01,0.0,0.0,103.01,1.0,1
Data Analyst,Masculine-Leaning,Luar Jawa,107.48,0.0,8.0,99.48,0.926,1
UI/UX Designer,Masculine-Leaning,Jawa Timur,99.12,0.0,0.0,99.12,1.0,1
Data Analyst,Feminine-Leaning,Jawa Timur,96.68,12.5,0.0,84.18,0.871,1
DevOps Engineer,Masculine-Leaning,Jawa Timur,107.99,0.0,0.0,107.99,1.0,1
Data Analyst,Feminine-Leaning,Jawa Timur,110.22,12.5,0.0,97.72,0.887,1
UI/UX Designer,Feminine-Leaning,DKI Jakarta,103.15,12.5,0.0,90.65,0.879,1
HR Specialist,Feminine-Leaning,Jawa Barat,101.69,12.5,0.0,89.19,0.877,1
Training Manager,Feminine-Leaning,Jawa Barat,106.72,12.5,0.0,94.22,0.883,1
Junior Developer,Masculine-Leaning,Jawa Barat,100.62,0.0,0.0,100.62,1.0,1
Junior Developer,Masculine-Leaning,Jawa Barat,102.79,0.0,0.0,102.79,1.0,1
Data Analyst,Feminine-Leaning,Jawa Timur,99.59,12.5,0.0,87.09,0.874,1
Training Manager,Masculine-Leaning,Luar Jawa,113.5,0.0,8.0,105.5,0.93,1
DevOps Engineer,Masculine-Leaning,Jawa Barat,97.08,0.0,0.0,97.08,1.0,1
Training Manager,Masculine-Leaning,Luar Jawa,91.43,0.0,8.0,83.43,0.913,1
Junior Developer,Feminine-Leaning,Jawa Timur,104.76,12.5,0.0,92.26,0.881,1
Backend Developer,Masculine-Leaning,Luar Jawa,101.73,0.0,8.0,93.73,0.921,1
Data Analyst,Masculine-Leaning,Jawa Timur,95.0,0.0,0.0,95.0,1.0,1
UI/UX Designer,Masculine-Leaning,Jawa Barat,111.06,0.0,0.0,111.06,1.0,1
HR Specialist,Masculine-Leaning,DKI Jakarta,90.44,0.0,0.0,90.44,1.0,1
Data Analyst,Masculine-Leaning,Jawa Barat,97.27,0.0,0.0,97.27,1.0,1
Data Analyst,Feminine-Leaning,Jawa Timur,108.41,12.5,0.0,95.91,0.885,1
Training Manager,Masculine-Leaning,Jawa Timur,91.96,0.0,0.0,91.96,1.0,1
Data Analyst,Masculine-Leaning,Jawa Barat,104.54,0.0,0.0,104.54,1.0,1
Data Analyst,Masculine-Leaning,Jawa Timur,105.48,0.0,0.0,105.48,1.0,1
Data Analyst,Feminine-Leaning,Jawa Timur,94.81,12.5,0.0,82.31,0.868,1
Data Analyst,Feminine-Leaning,Jawa Timur,97.06,12.5,0.0,84.56,0.871,1
Training Manager,Feminine-Leaning,Luar Jawa,99.35,12.5,8.0,78.85,0.794,1
Data Analyst,Masculine-Leaning,Jawa Timur,93.19,0.0,0.0,93.19,1.0,1
Data Analyst,Masculine-Leaning,Jawa Barat,97.36,0.0,0.0,97.36,1.0,1
HR Specialist,Feminine-Leaning,Jawa Barat,111.08,12.5,0.0,98.58,0.887,1
Data Analyst,Feminine-Leaning,Jawa Barat,102.22,12.5,0.0,89.72,0.878,1
Data Analyst,Masculine-Leaning,Jawa Timur,98.95,0.0,0.0,98.95,1.0,1
Backend Developer,Masculine-Leaning,Jawa Barat,114.96,0.0,0.0,114.96,1.0,1
Data Analyst,Masculine-Leaning,Jawa Barat,100.69,0.0,0.0,100.69,1.0,1
Data Analyst,Masculine-Leaning,Jawa Timur,118.41,0.0,0.0,118.41,1.0,1
HR Specialist,Feminine-Leaning,Luar Jawa,106.17,12.5,8.0,85.67,0.807,1
Product Manager,Masculine-Leaning,Jawa Barat,103.3,0.0,0.0,103.3,1.0,1
Backend Developer,Masculine-Leaning,Jawa Barat,104.04,0.0,0.0,104.04,1.0,1
Data Analyst,Masculine-Leaning,Luar Jawa,97.79,0.0,8.0,89.79,0.918,1
Data Analyst,Masculine-Leaning,Jawa Barat,96.6,0.0,0.0,96.6,1.0,1
Data Analyst,Feminine-Leaning,Luar Jawa,103.19,12.5,8.0,82.69,0.801,1
Product Manager,Feminine-Leaning,Luar Jawa,96.82,12.5,8.0,76.32,0.788,1
Training Manager,Masculine-Leaning,Jawa Timur,113.1,0.0,0.0,113.1,1.0,1
Junior Developer,Masculine-Leaning,Jawa Timur,107.62,0.0,0.0,107.62,1.0,1
UI/UX Designer,Masculine-Leaning,Luar Jawa,107.22,0.0,8.0,99.22,0.925,1
HR Specialist,Masculine-Leaning,DKI Jakarta,105.12,0.0,0.0,105.12,1.0,1
HR Specialist,Masculine-Leaning,Jawa Timur,97.26,0.0,0.0,97.26,1.0,1
Training Manager,Masculine-Leaning,Luar Jawa,93.68,0.0,8.0,85.68,0.915,1
Junior Developer,Masculine-Leaning,Jawa Timur,108.65,0.0,0.0,108.65,1.0,1
HR Specialist,Masculine-Leaning,Jawa Barat,96.46,0.0,0.0,96.46,1.0,1
Data Analyst,Masculine-Leaning,Luar Jawa,106.06,0.0,8.0,98.06,0.925,1
Content Specialist,Masculine-Leaning,Luar Jawa,91.2,0.0,8.0,83.2,0.912,1
Software Engineer,Masculine-Leaning,Luar Jawa,95.12,0.0,8.0,87.12,0.916,1
Junior Developer,Feminine-Leaning,DKI Jakarta,111.94,12.5,0.0,99.44,0.888,1
Content Specialist,Masculine-Leaning,Jawa Barat,98.45,0.0,0.0,98.45,1.0,1
Backend Developer,Masculine-Leaning,Luar Jawa,100.02,0.0,8.0,92.02,0.92,1
Content Specialist,Masculine-Leaning,Jawa Barat,112.93,0.0,0.0,112.93,1.0,1
Training Manager,Feminine-Leaning,Luar Jawa,96.92,12.5,8.0,76.42,0.788,1
Junior Developer,Feminine-Leaning,Luar Jawa,106.2,12.5,8.0,85.7,0.807,1
Data Analyst,Feminine-Leaning,Luar Jawa,94.53,12.5,8.0,74.03,0.783,1
Data Analyst,Masculine-Leaning,Jawa Timur,98.29,0.0,0.0,98.29,1.0,1
Junior Developer,Feminine-Leaning,Jawa Timur,118.89,12.5,0.0,106.39,0.895,1
Data Analyst,Masculine-Leaning,Jawa Timur,98.54,0.0,0.0,98.54,1.0,1
DevOps Engineer,Masculine-Leaning,Jawa Timur,104.3,0.0,0.0,104.3,1.0,1
Training Manager,Feminine-Leaning,DKI Jakarta,109.91,12.5,0.0,97.41,0.886,1
DevOps Engineer,Masculine-Leaning,Jawa Barat,103.86,0.0,0.0,103.86,1.0,1
Data Analyst,Masculine-Leaning,Jawa Timur,85.6,0.0,0.0,85.6,1.0,1
Training Manager,Feminine-Leaning,Jawa Timur,102.24,12.5,0.0,89.74,0.878,1
Product Manager,Masculine-Leaning,Luar Jawa,111.4,0.0,8.0,103.4,0.928,1
Data Analyst,Feminine-Leaning,Jawa Timur,107.66,12.5,0.0,95.16,0.884,1
Backend Developer,Masculine-Leaning,Jawa Barat,110.46,0.0,0.0,110.46,1.0,1
DevOps Engineer,Masculine-Leaning,Jawa Timur,107.62,0.0,0.0,107.62,1.0,1
Data Analyst,Masculine-Leaning,Jawa Barat,109.52,0.0,0.0,109.52,1.0,1
HR Specialist,Masculine-Leaning,Jawa Barat,95.53,0.0,0.0,95.53,1.0,1
Backend Developer,Masculine-Leaning,Jawa Timur,108.45,0.0,0.0,108.45,1.0,1
Data Analyst,Masculine-Leaning,Luar Jawa,110.39,0.0,8.0,102.39,0.928,1
Junior Developer,Masculine-Leaning,Jawa Barat,108.92,0.0,0.0,108.92,1.0,1
Backend Developer,Masculine-Leaning,Jawa Timur,109.64,0.0,0.0,109.64,1.0,1
Junior Developer,Feminine-Leaning,Jawa Barat,113.33,12.5,0.0,100.83,0.89,1
Training Manager,Feminine-Leaning,Jawa Timur,112.17,12.5,0.0,99.67,0.889,1
HR Specialist,Feminine-Leaning,Luar Jawa,102.09,12.5,8.0,81.59,0.799,1
Junior Developer,Masculine-Leaning,Jawa Timur,111.17,0.0,0.0,111.17,1.0,1
Product Manager,Masculine-Leaning,Luar Jawa,102.12,0.0,8.0,94.12,0.922,1
Junior Developer,Feminine-Leaning,Jawa Timur,106.17,12.5,0.0,93.67,0.882,1
Data Analyst,Feminine-Leaning,Jawa Timur,107.6,12.5,0.0,95.1,0.884,1
Junior Developer,Feminine-Leaning,Jawa Timur,107.75,12.5,0.0,95.25,0.884,1
Data Analyst,Masculine-Leaning,Jawa Barat,100.0,0.0,0.0,100.0,1.0,1
Data Analyst,Masculine-Leaning,Jawa Barat,93.56,0.0,0.0,93.56,1.0,1
DevOps Engineer,Masculine-Leaning,Jawa Barat,108.54,0.0,0.0,108.54,1.0,1
Data Analyst,Masculine-Leaning,Jawa Barat,98.31,0.0,0.0,98.31,1.0,1
Training Manager,Masculine-Leaning,Luar Jawa,98.54,0.0,8.0,90.54,0.919,1
Content Specialist,Feminine-Leaning,Jawa Timur,94.24,12.5,0.0,81.74,0.867,1
HR Specialist,Masculine-Leaning,Jawa Barat,94.94,0.0,0.0,94.94,1.0,1
HR Specialist,Feminine-Leaning,DKI Jakarta,95.47,12.5,0.0,82.97,0.869,1
UI/UX Designer,Masculine-Leaning,Luar Jawa,98.36,0.0,8.0,90.36,0.919,1
Training Manager,Feminine-Leaning,Luar Jawa,114.05,12.5,8.0,93.55,0.82,1
Junior Developer,Feminine-Leaning,Jawa Barat,107.91,12.5,0.0,95.41,0.884,1
Training Manager,Masculine-Leaning,Luar Jawa,109.64,0.0,8.0,101.64,0.927,1
Training Manager,Masculine-Leaning,Jawa Barat,99.16,0.0,0.0,99.16,1.0,1
Software Engineer,Masculine-Leaning,Luar Jawa,111.12,0.0,8.0,103.12,0.928,1
Junior Developer,Masculine-Leaning,Luar Jawa,112.0,0.0,8.0,104.0,0.929,1
Junior Developer,Masculine-Leaning,Jawa Barat,112.02,0.0,0.0,112.02,1.0,1
DevOps Engineer,Masculine-Leaning,DKI Jakarta,110.31,0.0,0.0,110.31,1.0,1
Junior Developer,Masculine-Leaning,DKI Jakarta,111.99,0.0,0.0,111.99,1.0,1
Junior Developer,Masculine-Leaning,Jawa Barat,106.28,0.0,0.0,106.28,1.0,1
Product Manager,Masculine-Leaning,Luar Jawa,103.63,0.0,8.0,95.63,0.923,1
